"GEO","SEX","CAS","LMS","COC","AGE","TIME","VALUE","FLAGS","FOOTNOTES"
"BG","T","POP","DTHREP","TOTAL","Y50-64","2011","0","",""
"BG","T","POP","DTHREP","TOTAL","Y65-84","2011","0","",""
"BG","T","POP","DTHREP","TOTAL","Y_GE85","2011","0","",""
"BG","T","POP","DTHREP","TOTAL","Y_LT15","2011","0","",""
"BG","T","POP","MAR","TOTAL","TOTAL","2011","3259954","",""
"BG","T","POP","MAR","TOTAL","Y15-29","2011","169094","",""
"BG","T","POP","MAR","TOTAL","Y30-49","2011","1251915","",""
"BG","T","POP","MAR","TOTAL","Y50-64","2011","1135015","",""
"BG","T","POP","MAR","TOTAL","Y65-84","2011","682749","",""
"BG","T","POP","MAR","TOTAL","Y_GE85","2011","21181","",""
"BG","T","POP","MAR","TOTAL","Y_LT15","2011","0","",""
"BG","T","POP","REP","TOTAL","TOTAL","2011","0","",""
"BG","T","POP","REP","TOTAL","Y15-29","2011","0","",""
"BG","T","POP","REP","TOTAL","Y30-49","2011","0","",""
"BG","T","POP","REP","TOTAL","Y50-64","2011","0","",""
"BG","T","POP","REP","TOTAL","Y65-84","2011","0","",""
"BG","T","POP","REP","TOTAL","Y_GE85","2011","0","",""
"BG","T","POP","REP","TOTAL","Y_LT15","2011","0","",""
"BG","T","POP","SIN","TOTAL","TOTAL","2011","2921950","",""
"BG","T","POP","SIN","TOTAL","Y15-29","2011","1179550","",""
"BG","T","POP","SIN","TOTAL","Y30-49","2011","619176","",""
"BG","T","POP","SIN","TOTAL","Y50-64","2011","110307","",""
"BG","T","POP","SIN","TOTAL","Y65-84","2011","35179","",""
"BG","T","POP","SIN","TOTAL","Y_GE85","2011","2466","",""
"BG","T","POP","SIN","TOTAL","Y_LT15","2011","975272","",""
"BG","T","POP","TOTAL","TOTAL","TOTAL","2011","7364570","",""
"BG","T","POP","TOTAL","TOTAL","Y15-29","2011","1357480","",""
"BG","T","POP","TOTAL","TOTAL","Y30-49","2011","2088763","",""
"BG","T","POP","TOTAL","TOTAL","Y50-64","2011","1581658","",""
"BG","T","POP","TOTAL","TOTAL","Y65-84","2011","1253918","",""
"BG","T","POP","TOTAL","TOTAL","Y_GE85","2011","107479","",""
"BG","T","POP","TOTAL","TOTAL","Y_LT15","2011","975272","",""
"BG","T","POP","UNK","TOTAL","TOTAL","2011","0","",""
"BG","T","POP","UNK","TOTAL","Y15-29","2011","0","",""
"BG","T","POP","UNK","TOTAL","Y30-49","2011","0","",""
"BG","T","POP","UNK","TOTAL","Y50-64","2011","0","",""
"BG","T","POP","UNK","TOTAL","Y65-84","2011","0","",""
"BG","T","POP","UNK","TOTAL","Y_GE85","2011","0","",""
"BG","T","POP","UNK","TOTAL","Y_LT15","2011","0","",""
"BG","T","POP","WID","TOTAL","TOTAL","2011","754526","",""
"BG","T","POP","WID","TOTAL","Y15-29","2011","705","",""
"BG","T","POP","WID","TOTAL","Y30-49","2011","29824","",""
"BG","T","POP","WID","TOTAL","Y50-64","2011","164367","",""
"BG","T","POP","WID","TOTAL","Y65-84","2011","477843","",""
"BG","T","POP","WID","TOTAL","Y_GE85","2011","81787","",""
"BG","T","POP","WID","TOTAL","Y_LT15","2011","0","",""
"CH","T","POP","DISREP","TOTAL","TOTAL","2011","464","du","The values in this hypercube do not refer to the total Swiss population but rather to the resident permanent population aged 15 years or older in private households."
"CH","T","POP","DISREP","TOTAL","Y15-29","2011",":","cd","The values in this hypercube do not refer to the total Swiss population but rather to the resident permanent population aged 15 years or older in private households."
"CH","T","POP","DISREP","TOTAL","Y30-49","2011","267","du","The values in this hypercube do not refer to the total Swiss population but rather to the resident permanent population aged 15 years or older in private households."
"CH","T","POP","DISREP","TOTAL","Y50-64","2011","164","du","The values in this hypercube do not refer to the total Swiss population but rather to the resident permanent population aged 15 years or older in private households."
"CH","T","POP","DISREP","TOTAL","Y65-84","2011","0","",""
"CH","T","POP","DISREP","TOTAL","Y_GE85","2011","0","",""
"CH","T","POP","DISREP","TOTAL","Y_LT15","2011","0","",""
"CH","T","POP","DIV","TOTAL","TOTAL","2011","594685","d","The values in this hypercube do not refer to the total Swiss population but rather to the resident permanent population aged 15 years or older in private households."
"CH","T","POP","DIV","TOTAL","Y15-29","2011","7244","d","The values in this hypercube do not refer to the total Swiss population but rather to the resident permanent population aged 15 years or older in private households."
"CH","T","POP","DIV","TOTAL","Y30-49","2011","217782","d","The values in this hypercube do not refer to the total Swiss population but rather to the resident permanent population aged 15 years or older in private households."
"CH","T","POP","DIV","TOTAL","Y50-64","2011","247143","d","The values in this hypercube do not refer to the total Swiss population but rather to the resident permanent population aged 15 years or older in private households."
"CH","T","POP","DIV","TOTAL","Y65-84","2011","116716","d","The values in this hypercube do not refer to the total Swiss population but rather to the resident permanent population aged 15 years or older in private households."
"CH","T","POP","DIV","TOTAL","Y_GE85","2011","5800","d","The values in this hypercube do not refer to the total Swiss population but rather to the resident permanent population aged 15 years or older in private households."
"CH","T","POP","DIV","TOTAL","Y_LT15","2011","0","",""
"CH","T","POP","DTHREP","TOTAL","TOTAL","2011",":","cd","The values in this hypercube do not refer to the total Swiss population but rather to the resident permanent population aged 15 years or older in private households."
"CH","T","POP","DTHREP","TOTAL","Y15-29","2011","0","",""
"CH","T","POP","DTHREP","TOTAL","Y30-49","2011",":","cd","The values in this hypercube do not refer to the total Swiss population but rather to the resident permanent population aged 15 years or older in private households."
"CH","T","POP","DTHREP","TOTAL","Y50-64","2011",":","cd","The values in this hypercube do not refer to the total Swiss population but rather to the resident permanent population aged 15 years or older in private households."
"CH","T","POP","DTHREP","TOTAL","Y65-84","2011","0","",""
"CH","T","POP","DTHREP","TOTAL","Y_GE85","2011","0","",""
"CH","T","POP","DTHREP","TOTAL","Y_LT15","2011","0","",""
"CH","T","POP","MAR","TOTAL","TOTAL","2011","3446833","d","The values in this hypercube do not refer to the total Swiss population but rather to the resident permanent population aged 15 years or older in private households."
"CH","T","POP","MAR","TOTAL","Y15-29","2011","169881","d","The values in this hypercube do not refer to the total Swiss population but rather to the resident permanent population aged 15 years or older in private households."
"CH","T","POP","MAR","TOTAL","Y30-49","2011","1447940","d","The values in this hypercube do not refer to the total Swiss population but rather to the resident permanent population aged 15 years or older in private households."
"CH","T","POP","MAR","TOTAL","Y50-64","2011","1053524","d","The values in this hypercube do not refer to the total Swiss population but rather to the resident permanent population aged 15 years or older in private households."
"CH","T","POP","MAR","TOTAL","Y65-84","2011","728749","d","The values in this hypercube do not refer to the total Swiss population but rather to the resident permanent population aged 15 years or older in private households."
"CH","T","POP","MAR","TOTAL","Y_GE85","2011","46739","d","The values in this hypercube do not refer to the total Swiss population but rather to the resident permanent population aged 15 years or older in private households."
"CH","T","POP","MAR","TOTAL","Y_LT15","2011","0","",""
"CH","T","POP","REP","TOTAL","TOTAL","2011","11024","d","The values in this hypercube do not refer to the total Swiss population but rather to the resident permanent population aged 15 years or older in private households."
"CH","T","POP","REP","TOTAL","Y15-29","2011","880","du","The values in this hypercube do not refer to the total Swiss population but rather to the resident permanent population aged 15 years or older in private households."
"CH","T","POP","REP","TOTAL","Y30-49","2011","6651","d","The values in this hypercube do not refer to the total Swiss population but rather to the resident permanent population aged 15 years or older in private households."
"CH","T","POP","REP","TOTAL","Y50-64","2011","2610","d","The values in this hypercube do not refer to the total Swiss population but rather to the resident permanent population aged 15 years or older in private households."
"CH","T","POP","REP","TOTAL","Y65-84","2011","850","du","The values in this hypercube do not refer to the total Swiss population but rather to the resident permanent population aged 15 years or older in private households."
"CH","T","POP","REP","TOTAL","Y_GE85","2011",":","cd","The values in this hypercube do not refer to the total Swiss population but rather to the resident permanent population aged 15 years or older in private households."
"CH","T","POP","REP","TOTAL","Y_LT15","2011","0","",""
"CH","T","POP","SIN","TOTAL","TOTAL","2011","2165634","d","The values in this hypercube do not refer to the total Swiss population but rather to the resident permanent population aged 15 years or older in private households."
"CH","T","POP","SIN","TOTAL","Y15-29","2011","1257124","d","The values in this hypercube do not refer to the total Swiss population but rather to the resident permanent population aged 15 years or older in private households."
"CH","T","POP","SIN","TOTAL","Y30-49","2011","667049","d","The values in this hypercube do not refer to the total Swiss population but rather to the resident permanent population aged 15 years or older in private households."
"CH","T","POP","SIN","TOTAL","Y50-64","2011","158869","d","The values in this hypercube do not refer to the total Swiss population but rather to the resident permanent population aged 15 years or older in private households."
"CH","T","POP","SIN","TOTAL","Y65-84","2011","73678","d","The values in this hypercube do not refer to the total Swiss population but rather to the resident permanent population aged 15 years or older in private households."
"CH","T","POP","SIN","TOTAL","Y_GE85","2011","8913","d","The values in this hypercube do not refer to the total Swiss population but rather to the resident permanent population aged 15 years or older in private households."
"CH","T","POP","SIN","TOTAL","Y_LT15","2011","0","",""
"CH","T","POP","TOTAL","TOTAL","TOTAL","2011","6587556","d","The values in this hypercube do not refer to the total Swiss population but rather to the resident permanent population aged 15 years or older in private households."
"CH","T","POP","TOTAL","TOTAL","Y15-29","2011","1435328","d","The values in this hypercube do not refer to the total Swiss population but rather to the resident permanent population aged 15 years or older in private households."
"CH","T","POP","TOTAL","TOTAL","Y30-49","2011","2351852","d","The values in this hypercube do not refer to the total Swiss population but rather to the resident permanent population aged 15 years or older in private households."
"CH","T","POP","TOTAL","TOTAL","Y50-64","2011","1517009","d","The values in this hypercube do not refer to the total Swiss population but rather to the resident permanent population aged 15 years or older in private households."
"CH","T","POP","TOTAL","TOTAL","Y65-84","2011","1143073","d","The values in this hypercube do not refer to the total Swiss population but rather to the resident permanent population aged 15 years or older in private households."
"CH","T","POP","TOTAL","TOTAL","Y_GE85","2011","140294","d","The values in this hypercube do not refer to the total Swiss population but rather to the resident permanent population aged 15 years or older in private households."
"CH","T","POP","TOTAL","TOTAL","Y_LT15","2011","0","",""
"CH","T","POP","UNK","TOTAL","TOTAL","2011","0","",""
"CH","T","POP","UNK","TOTAL","Y15-29","2011","0","",""
"CH","T","POP","UNK","TOTAL","Y30-49","2011","0","",""
"CH","T","POP","UNK","TOTAL","Y50-64","2011","0","",""
"CH","T","POP","UNK","TOTAL","Y65-84","2011","0","",""
"CH","T","POP","UNK","TOTAL","Y_GE85","2011","0","",""
"CH","T","POP","UNK","TOTAL","Y_LT15","2011","0","",""
"CH","T","POP","WID","TOTAL","TOTAL","2011","368813","d","The values in this hypercube do not refer to the total Swiss population but rather to the resident permanent population aged 15 years or older in private households."
"CH","T","POP","WID","TOTAL","Y15-29","2011","166","du","The values in this hypercube do not refer to the total Swiss population but rather to the resident permanent population aged 15 years or older in private households."
"CH","T","POP","WID","TOTAL","Y30-49","2011","12108","d","The values in this hypercube do not refer to the total Swiss population but rather to the resident permanent population aged 15 years or older in private households."
"CH","T","POP","WID","TOTAL","Y50-64","2011","54650","d","The values in this hypercube do not refer to the total Swiss population but rather to the resident permanent population aged 15 years or older in private households."
"CH","T","POP","WID","TOTAL","Y65-84","2011","223080","d","The values in this hypercube do not refer to the total Swiss population but rather to the resident permanent population aged 15 years or older in private households."
"CH","T","POP","WID","TOTAL","Y_GE85","2011","78809","d","The values in this hypercube do not refer to the total Swiss population but rather to the resident permanent population aged 15 years or older in private households."
"CH","T","POP","WID","TOTAL","Y_LT15","2011","0","",""
"CY","T","POP","DISREP","TOTAL","TOTAL","2011","0","",""
"CY","T","POP","DISREP","TOTAL","Y15-29","2011","0","",""
"CY","T","POP","DISREP","TOTAL","Y30-49","2011","0","",""
"CY","T","POP","DISREP","TOTAL","Y50-64","2011","0","",""
"CY","T","POP","DISREP","TOTAL","Y65-84","2011","0","",""
"CY","T","POP","DISREP","TOTAL","Y_GE85","2011","0","",""
"CY","T","POP","DISREP","TOTAL","Y_LT15","2011","0","",""
"CY","T","POP","DIV","TOTAL","TOTAL","2011","0","",""
"CY","T","POP","DIV","TOTAL","Y15-29","2011","0","",""
"CY","T","POP","DIV","TOTAL","Y30-49","2011","0","",""
"CY","T","POP","DIV","TOTAL","Y50-64","2011","0","",""
"CY","T","POP","DIV","TOTAL","Y65-84","2011","0","",""
"CY","T","POP","DIV","TOTAL","Y_GE85","2011","0","",""
"CY","T","POP","DIV","TOTAL","Y_LT15","2011","0","",""
"CY","T","POP","DTHREP","TOTAL","TOTAL","2011","0","",""
"CY","T","POP","DTHREP","TOTAL","Y15-29","2011","0","",""
"CY","T","POP","DTHREP","TOTAL","Y30-49","2011","0","",""
"CY","T","POP","DTHREP","TOTAL","Y50-64","2011","0","",""
"CY","T","POP","DTHREP","TOTAL","Y65-84","2011","0","",""
"CY","T","POP","DTHREP","TOTAL","Y_GE85","2011","0","",""
"CY","T","POP","DTHREP","TOTAL","Y_LT15","2011","0","",""
"CY","T","POP","MAR","TOTAL","TOTAL","2011","0","",""
"CY","T","POP","MAR","TOTAL","Y15-29","2011","0","",""
"CY","T","POP","MAR","TOTAL","Y30-49","2011","0","",""
"CY","T","POP","MAR","TOTAL","Y50-64","2011","0","",""
"CY","T","POP","MAR","TOTAL","Y65-84","2011","0","",""
